id,source,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,name_length,name_sentiment,description_length,description_sentiment,neighborhood_overview_length,neighborhood_overview_sentiment,host_name_first_letter,predicted_gender,host_about_length,host_about_sentiment,same_neighbourhood,bathrooms_number,bathrooms_type,amenities_count
16404688,1.0,107474210.0,2180.0,0.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,52.39306,4.93641,9.0,0.0,5.0,3.0,4.0,210.0,5.0,30.0,5.0,5.0,30.0,30.0,5.0,30.0,1.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,2163.0,121.0,5.0,5.0,4.96,5.0,5.0,4.92,4.85,0.0,1.0,1.0,0.0,0.0,0.36,45.0,1.2,1000.0,3.0185064935064934,1000.0,3.249512987012987,13.0,0.0,213.0,0.8,0.0,1.5,1.0,33.0
16422457,1.0,471709.0,4269.0,4.0,100.0,100.0,1.0,3.0,3.0,1.0,1.0,52.35508,4.94035,14.0,0.0,4.0,2.0,2.0,190.0,3.0,60.0,3.0,3.0,60.0,60.0,3.0,60.0,1.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,2161.0,1218.0,4.89,4.86,4.71,4.96,4.93,4.74,4.85,0.0,1.0,1.0,0.0,0.0,0.39,34.0,0.6,1000.0,2.423809523809524,354.0,0.2226190476190476,18.0,1.0,852.0,4.9827272727272724,0.0,1.5,1.0,35.0
16425583,1.0,17905452.0,3070.0,0.0,100.0,100.0,1.0,1.0,2.0,1.0,1.0,52.35416,4.87901,12.0,0.0,4.0,3.0,4.0,260.0,4.0,21.0,4.0,4.0,21.0,21.0,4.0,21.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1626.0,1138.0,4.86,4.86,4.57,5.0,5.0,5.0,4.71,1.0,1.0,1.0,0.0,0.0,0.13,42.0,0.0,1000.0,0.0,325.0,0.0,4.0,1.0,475.0,2.609090909090909,0.0,2.0,1.0,31.0
16426662,0.0,107690122.0,2178.0,0.0,100.0,67.0,1.0,1.0,1.0,1.0,0.0,52.3755792,4.832038,9.0,0.0,3.0,2.0,2.0,190.0,2.0,365.0,2.0,2.0,365.0,365.0,2.0,365.0,1.0,3.0,33.0,63.0,63.0,1.0,1.0,0.0,109.0,109.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,0.0,1.0,1.0,0.0,0.0,0.27,22.0,0.0,531.0,0.6595238095238096,0.0,0.0,11.0,1.0,1.0,0.0,0.0,1.5,1.0,32.0
16459266,1.0,107982559.0,2175.0,0.0,100.0,100.0,1.0,1.0,2.0,1.0,0.0,52.35079,4.85324,12.0,0.0,2.0,1.0,1.0,150.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,2061.0,1648.0,4.77,4.59,4.59,4.95,4.91,4.81,4.76,0.0,1.0,1.0,0.0,0.0,0.32,46.0,0.6,527.0,1.55,0.0,0.0,14.0,2.0,0.0,0.0,0.0,1.0,1.0,10.0
16459632,0.0,7019438.0,3455.0,4.0,100.0,69.0,2.0,1.0,1.0,1.0,1.0,52.31562,4.95312,12.0,0.0,4.0,1.0,2.0,104.0,3.0,7.0,3.0,3.0,7.0,7.0,3.0,7.0,1.0,4.0,19.0,46.0,46.0,209.0,26.0,0.0,2166.0,39.0,4.95,4.95,4.95,4.99,5.0,4.71,4.83,0.0,1.0,1.0,0.0,0.0,2.89,44.0,0.8999999999999999,1000.0,7.903030303030303,177.0,1.375,10.0,2.0,757.0,5.779166666666667,0.0,1.0,1.0,43.0
16486501,1.0,43445408.0,2648.0,0.0,100.0,70.0,1.0,1.0,1.0,1.0,1.0,52.37756,4.8496,12.0,0.0,4.0,2.0,2.0,175.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,41.0,7.0,0.0,2113.0,94.0,4.88,4.85,4.75,4.83,4.9,4.6,4.65,0.0,1.0,1.0,0.0,0.0,0.58,50.0,0.0,649.0,5.083333333333333,203.0,0.55,13.0,0.0,0.0,0.0,1.0,1.5,1.0,42.0
16526188,1.0,68332208.0,2418.0,0.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,52.37779,4.87329,12.0,0.0,2.0,1.0,1.0,90.0,2.0,1125.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,2070.0,373.0,4.83,4.78,5.0,4.83,4.89,4.61,4.61,0.0,1.0,1.0,0.0,0.0,0.26,45.0,-0.09999999999999998,637.0,2.536363636363636,278.0,0.6,13.0,1.0,0.0,0.0,0.0,1.0,1.0,14.0
16526897,0.0,2978366.0,3792.0,3.0,100.0,95.0,2.0,1.0,2.0,1.0,1.0,52.37597,4.94647,31.0,2.0,4.0,1.0,3.0,249.0,2.0,28.0,2.0,2.0,28.0,28.0,2.0,28.0,1.0,4.0,34.0,64.0,339.0,76.0,11.0,0.0,2163.0,148.0,4.89,4.88,4.8,4.97,4.95,4.75,4.64,0.0,1.0,0.0,1.0,0.0,1.05,50.0,0.75,1000.0,6.166666666666667,185.0,-0.4,6.0,2.0,403.0,1.7946969696969695,0.0,1.0,1.0,55.0
16529838,1.0,3888605.0,3702.0,0.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,52.3832,4.87006,12.0,0.0,2.0,1.0,1.0,93.0,3.0,1125.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,1.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,2157.0,1007.0,4.96,4.93,4.93,4.82,4.96,4.82,4.79,0.0,1.0,1.0,0.0,0.0,0.4,29.0,0.0,1000.0,4.722619047619047,472.0,2.261363636363636,10.0,0.0,292.0,2.0863636363636364,0.0,1.0,1.0,25.0
